timestamp_utc,container_pid,memory_current_bytes,memory_peak_bytes,memory_swap_current_bytes,process_vmrss_bytes,unavailable_reason
2026-09-24T23:51:59Z,3041315,577245184,577245184,0,632111104,
2026-09-24T23:52:01Z,3041315,877207552,948228096,0,938672128,
2026-09-24T23:52:04Z,3041315,878997504,948228096,0,940208128,
2026-09-24T23:52:06Z,3041315,879239168,948228096,0,941101056,
2026-09-24T23:52:08Z,3041315,881479680,948228096,0,943128576,
2026-09-24T23:52:10Z,3041315,881115136,948228096,0,943742976,
2026-09-24T23:52:12Z,3041315,882221056,948228096,0,944349184,
2026-09-24T23:52:14Z,3041315,882536448,948228096,0,944910336,
2026-09-24T23:52:17Z,3041315,883126272,948228096,0,945537024,
2026-09-24T23:52:19Z,3041315,883556352,948228096,0,946057216,
2026-09-24T23:52:21Z,3041315,884158464,948228096,0,946536448,
2026-09-24T23:52:23Z,3041315,884682752,948228096,0,947167232,
2026-09-24T23:52:25Z,3041315,885256192,948228096,0,947703808,
2026-09-24T23:52:27Z,3041315,886362112,948228096,0,949104640,
2026-09-24T23:52:30Z,3041315,886071296,948228096,0,949116928,
2026-09-24T23:52:32Z,3041315,885858304,948228096,0,949108736,
2026-09-24T23:52:34Z,3041315,885870592,948228096,0,949112832,
2026-09-24T23:52:36Z,3041315,885858304,948228096,0,949108736,
2026-09-24T23:52:38Z,3041315,886906880,948228096,0,949145600,
2026-09-24T23:52:40Z,3041315,886411264,948228096,0,949141504,
2026-09-24T23:52:43Z,3041315,886624256,948228096,0,949391360,
2026-09-24T23:52:45Z,3041315,887214080,948228096,0,949981184,
2026-09-24T23:52:47Z,3041315,887754752,948228096,0,950624256,
2026-09-24T23:52:49Z,3041315,888152064,948228096,0,951214080,
2026-09-24T23:52:51Z,3041315,888836096,948228096,0,951816192,
2026-09-24T23:52:53Z,3041315,889335808,948228096,0,952385536,
2026-09-24T23:52:56Z,3041315,890019840,948228096,0,952967168,
2026-09-24T23:52:58Z,3041315,891064320,948228096,0,953929728,
2026-09-24T23:53:00Z,3041315,890699776,948228096,0,953929728,
2026-09-24T23:53:02Z,3041315,890712064,948228096,0,953942016,
2026-09-24T23:53:04Z,3041315,890716160,948228096,0,953942016,
2026-09-24T23:53:06Z,3041315,890970112,948228096,0,953946112,
2026-09-24T23:53:08Z,3041315,891756544,948228096,0,953954304,
2026-09-24T23:53:11Z,3041315,891490304,948228096,0,953970688,
2026-09-24T23:53:13Z,3041315,891256832,948228096,0,953970688,
2026-09-24T23:53:15Z,3041315,890732544,948228096,0,953962496,
2026-09-24T23:53:17Z,3041315,890740736,948228096,0,953974784,
2026-09-24T23:53:19Z,3041315,890740736,948228096,0,953970688,
2026-09-24T23:53:21Z,3041315,890966016,948228096,0,953970688,
2026-09-24T23:53:24Z,3041315,890966016,948228096,0,953970688,
2026-09-24T23:53:26Z,3041315,890966016,948228096,0,953974784,
2026-09-24T23:53:28Z,3041315,890716160,948228096,0,953974784,
2026-09-24T23:53:30Z,3041315,890974208,948228096,0,953974784,
2026-09-24T23:53:32Z,3041315,891232256,948228096,0,953978880,
2026-09-24T23:53:34Z,3041315,890732544,948228096,0,953974784,
2026-09-24T23:53:37Z,3041315,891027456,948228096,0,953978880,
2026-09-24T23:53:39Z,3041315,891011072,948228096,0,953978880,
