timestamp_utc,container_pid,memory_current_bytes,memory_peak_bytes,memory_swap_current_bytes,process_vmrss_bytes,unavailable_reason
2026-09-25T00:02:33Z,3067354,517660672,517660672,0,571596800,
2026-09-25T00:02:36Z,3067354,864329728,948305920,0,925294592,
2026-09-25T00:02:38Z,3067354,865075200,948305920,0,926863360,
2026-09-25T00:02:40Z,3067354,865693696,948305920,0,927715328,
2026-09-25T00:02:42Z,3067354,868155392,948305920,0,929648640,
2026-09-25T00:02:44Z,3067354,868270080,948305920,0,930291712,
2026-09-25T00:02:46Z,3067354,869531648,948305920,0,931176448,
2026-09-25T00:02:49Z,3067354,869584896,948305920,0,931815424,
2026-09-25T00:02:51Z,3067354,870281216,948305920,0,932560896,
2026-09-25T00:02:53Z,3067354,871088128,948305920,0,933249024,
2026-09-25T00:02:55Z,3067354,871710720,948305920,0,933892096,
2026-09-25T00:02:57Z,3067354,871854080,948305920,0,934486016,
2026-09-25T00:03:00Z,3067354,872910848,948305920,0,935645184,
2026-09-25T00:03:02Z,3067354,872919040,948305920,0,935653376,
2026-09-25T00:03:04Z,3067354,873164800,948305920,0,935653376,
2026-09-25T00:03:06Z,3067354,873164800,948305920,0,935657472,
2026-09-25T00:03:08Z,3067354,873717760,948305920,0,935731200,
2026-09-25T00:03:10Z,3067354,873148416,948305920,0,935731200,
2026-09-25T00:03:13Z,3067354,873455616,948305920,0,935731200,
2026-09-25T00:03:15Z,3067354,872763392,948305920,0,935731200,
2026-09-25T00:03:17Z,3067354,872759296,948305920,0,935727104,
2026-09-25T00:03:19Z,3067354,873037824,948305920,0,935743488,
2026-09-25T00:03:21Z,3067354,872771584,948305920,0,935735296,
2026-09-25T00:03:24Z,3067354,873291776,948305920,0,935780352,
2026-09-25T00:03:26Z,3067354,872820736,948305920,0,935780352,
2026-09-25T00:03:28Z,3067354,872824832,948305920,0,935780352,
2026-09-25T00:03:30Z,3067354,873377792,948305920,0,936329216,
2026-09-25T00:03:32Z,3067354,873631744,948305920,0,936337408,
2026-09-25T00:03:34Z,3067354,873631744,948305920,0,936337408,
2026-09-25T00:03:37Z,3067354,873373696,948305920,0,936325120,
2026-09-25T00:03:39Z,3067354,873570304,948305920,0,936333312,
2026-09-25T00:03:41Z,3067354,873377792,948305920,0,936329216,
2026-09-25T00:03:43Z,3067354,873861120,948305920,0,936366080,
2026-09-25T00:03:45Z,3067354,873639936,948305920,0,936366080,
2026-09-25T00:03:47Z,3067354,874188800,948305920,0,936869888,
2026-09-25T00:03:50Z,3067354,874958848,948305920,0,937435136,
2026-09-25T00:03:52Z,3067354,875237376,948305920,0,937971712,
2026-09-25T00:03:54Z,3067354,876494848,948305920,0,938512384,
2026-09-25T00:03:56Z,3067354,876679168,948305920,0,938954752,
2026-09-25T00:03:58Z,3067354,876552192,948305920,0,939364352,
2026-09-25T00:04:00Z,3067354,877355008,948305920,0,939974656,
2026-09-25T00:04:03Z,3067354,877957120,948305920,0,940490752,
2026-09-25T00:04:05Z,3067354,877576192,948305920,0,940552192,
2026-09-25T00:04:07Z,3067354,877838336,948305920,0,940552192,
2026-09-25T00:04:09Z,3067354,878125056,948305920,0,940556288,
2026-09-25T00:04:11Z,3067354,877617152,948305920,0,940556288,
2026-09-25T00:04:14Z,3067354,877617152,948305920,0,940560384,
2026-09-25T00:04:16Z,3067354,877621248,948305920,0,940560384,
